"DS2IMFAT.Code.or.Value","DS2IMFAT.Value.Description","DS2IMFAT.Count","DS2IMFAT.Cumulative","DS2IMFAT.Skip.to.Item"
"0.025 to 6","Range of Values",57,57,NA
".","Missing",5469,5526,NA
