"URDOP4LC.Code.or.Value","URDOP4LC.Value.Description","URDOP4LC.Count","URDOP4LC.Cumulative","URDOP4LC.Skip.to.Item"
"0","At or above the detection limit",1289,1289,NA
"1","Below lower detection limit",1133,2422,NA
".","Missing",190,2612,NA
