"URDP05LC.Code.or.Value","URDP05LC.Value.Description","URDP05LC.Count","URDP05LC.Cumulative","URDP05LC.Skip.to.Item"
"0","At or above the detection limit",2420,2420,NA
"1","Below lower detection limit",6,2426,NA
".","Missing",271,2697,NA
