"DXXRLFAT.Code.or.Value","DXXRLFAT.Value.Description","DXXRLFAT.Count","DXXRLFAT.Cumulative","DXXRLFAT.Skip.to.Item"
"497.7 to 18974.4","Range of Values",5296,5296,NA
".","Missing",737,6033,NA
