"BIDICF.Code.or.Value","BIDICF.Value.Description","BIDICF.Count","BIDICF.Cumulative","BIDICF.Skip.to.Item"
"5.21 to 53.21","Range of Values",4504,4504,NA
".","Missing",1445,5949,NA
