"BIXC421K.Code.or.Value","BIXC421K.Value.Description","BIXC421K.Count","BIXC421K.Cumulative","BIXC421K.Skip.to.Item"
"9.9 to 126.8","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
