"BMXARMC.Code.or.Value","BMXARMC.Value.Description","BMXARMC.Count","BMXARMC.Cumulative","BMXARMC.Skip.to.Item"
"11 to 62.4","Range of Values",9494,9494,NA
".","Missing",456,9950,NA
