"URD25TLC.Code.or.Value","URD25TLC.Value.Description","URD25TLC.Count","URD25TLC.Cumulative","URD25TLC.Skip.to.Item"
"0","detectable result",50,50,NA
"1","below detectable limit",1764,1814,NA
".","Missing",311,2125,NA
