"DS1IVC.Code.or.Value","DS1IVC.Value.Description","DS1IVC.Count","DS1IVC.Cumulative","DS1IVC.Skip.to.Item"
"0.003 to 4000","Range of Values",2052,2052,NA
".","Missing",3906,5958,NA
