"DR2TTHEO.Code.or.Value","DR2TTHEO.Value.Description","DR2TTHEO.Count","DR2TTHEO.Cumulative","DR2TTHEO.Skip.to.Item"
"0 to 1053","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
