"CIQDPA.Code.or.Value","CIQDPA.Value.Description","CIQDPA.Count","CIQDPA.Cumulative","CIQDPA.Skip.to.Item"
"1","Yes",5,5,"CIQDPD"
"2","No",72,77,""
"7","Refuse",0,77,""
"9","Don't know",0,77,""
".","Missing",773,850,""
