"PFQ049.Code.or.Value","PFQ049.Value.Description","PFQ049.Count","PFQ049.Cumulative","PFQ049.Skip.to.Item"
"1","Yes",767,767,NA
"2","No",4266,5033,NA
"7","Refused",0,5033,NA
"9","Don't know",7,5040,NA
".","Missing",4605,9645,NA
