"DR2IGRMS.Code.or.Value","DR2IGRMS.Value.Description","DR2IGRMS.Count","DR2IGRMS.Cumulative","DR2IGRMS.Skip.to.Item"
"0.01 to 11520","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
