"OPDSHD.Code.or.Value","OPDSHD.Value.Description","OPDSHD.Count","OPDSHD.Cumulative","OPDSHD.Skip.to.Item"
"0","No",1165,1165,NA
"1","Yes",1155,2320,NA
".","Missing",614,2934,NA
