"DXXTRBMD.Code.or.Value","DXXTRBMD.Value.Description","DXXTRBMD.Count","DXXTRBMD.Cumulative","DXXTRBMD.Skip.to.Item"
"0.214 to 1.382","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
