"DXXRABMD.Code.or.Value","DXXRABMD.Value.Description","DXXRABMD.Count","DXXRABMD.Cumulative","DXXRABMD.Skip.to.Item"
"0.386 to 1.494","Range of Values",4031,4031,NA
".","Missing",1083,5114,NA
