"OPXSRCDR.Code.or.Value","OPXSRCDR.Value.Description","OPXSRCDR.Count","OPXSRCDR.Cumulative","OPXSRCDR.Skip.to.Item"
"0 to 1","Range of Values",287,287,NA
"2","Ungradable",10,297,NA
".","Missing",2637,2934,NA
