"DXXGYLM.Code.or.Value","DXXGYLM.Value.Description","DXXGYLM.Count","DXXGYLM.Cumulative","DXXGYLM.Skip.to.Item"
"1409.3 to 18187.1","Range of Values",5426,5426,NA
".","Missing",607,6033,NA
