"WHD140.Code.or.Value","WHD140.Value.Description","WHD140.Count","WHD140.Cumulative","WHD140.Skip.to.Item"
"87 to 589","Range of Values",5456,5456,NA
"7777","Refused",3,5459,NA
"9999","Don't know",136,5595,NA
".","Missing",618,6213,NA
