"DR2IP205.Code.or.Value","DR2IP205.Value.Description","DR2IP205.Count","DR2IP205.Cumulative","DR2IP205.Skip.to.Item"
"0 to 2.892","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
