"DRD370V.Code.or.Value","DRD370V.Value.Description","DRD370V.Count","DRD370V.Cumulative","DRD370V.Skip.to.Item"
"1","Yes",1,1,NA
"2","No",5287,5288,NA
".","Missing",4050,9338,NA
