"RDD120.Code.or.Value","RDD120.Value.Description","RDD120.Count","RDD120.Cumulative","RDD120.Skip.to.Item"
"0 to 16","Range of Values",1276,1276,NA
"20","20 or more",1,1277,NA
"7777","Refused",0,1277,NA
"9999","Don't know",5,1282,NA
".","Missing",8827,10109,NA
