"HIQ210.Code.or.Value","HIQ210.Value.Description","HIQ210.Count","HIQ210.Cumulative","HIQ210.Skip.to.Item"
"1","Yes",718,718,NA
"2","No",7675,8393,NA
"7","Refused",0,8393,NA
"9","Don't know",12,8405,NA
".","Missing",1943,10348,NA
