"LBCPDELA.Code.or.Value","LBCPDELA.Value.Description","LBCPDELA.Count","LBCPDELA.Cumulative","LBCPDELA.Skip.to.Item"
"32.3 to 2809","Range of Values",284,284,NA
".","Missing",0,284,NA
