"MCQ240Y.Code.or.Value","MCQ240Y.Value.Description","MCQ240Y.Count","MCQ240Y.Cumulative","MCQ240Y.Skip.to.Item"
"35","35",1,1,NA
"85","85 years or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",9821,9822,NA
