"DXXINA.Code.or.Value","DXXINA.Value.Description","DXXINA.Count","DXXINA.Cumulative","DXXINA.Skip.to.Item"
"6.63 to 34.93","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
