"LBDHCBLC.Code.or.Value","LBDHCBLC.Value.Description","LBDHCBLC.Count","LBDHCBLC.Cumulative","LBDHCBLC.Skip.to.Item"
"0","At or above the detection limit",284,284,NA
"1","Below lower detection limit",0,284,NA
".","Missing",0,284,NA
