"DR2_330Z.Code.or.Value","DR2_330Z.Value.Description","DR2_330Z.Count","DR2_330Z.Cumulative","DR2_330Z.Skip.to.Item"
"0 to 11376","Range of Values",8429,8429,NA
".","Missing",1521,9950,NA
