"AUXU2KL.Code.or.Value","AUXU2KL.Value.Description","AUXU2KL.Count","AUXU2KL.Cumulative","AUXU2KL.Skip.to.Item"
"-10 to 120","Range of Values",3849,3849,NA
"666","No response",2,3851,NA
"888","Could not obtain",15,3866,NA
".","Missing",634,4500,NA
