"RFXC148.Code.or.Value","RFXC148.Value.Description","RFXC148.Count","RFXC148.Cumulative","RFXC148.Skip.to.Item"
"-5.775 to 7.431","Range of Values",51052,51052,NA
".","Missing",24,51076,NA
