"URD1TBLC.Code.or.Value","URD1TBLC.Value.Description","URD1TBLC.Count","URD1TBLC.Cumulative","URD1TBLC.Skip.to.Item"
"0","At or above the detection limit",706,706,NA
"1","Below lower detection limit",2043,2749,NA
".","Missing",70,2819,NA
