"DR2IM201.Code.or.Value","DR2IM201.Value.Description","DR2IM201.Count","DR2IM201.Cumulative","DR2IM201.Skip.to.Item"
"0 to 4.513","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
