"CSXEXSTS.Code.or.Value","CSXEXSTS.Value.Description","CSXEXSTS.Count","CSXEXSTS.Cumulative","CSXEXSTS.Skip.to.Item"
"1","Complete",3094,3094,NA
"2","Partial",462,3556,NA
"3","Not done",152,3708,NA
".","Missing",0,3708,NA
