"URXEPB.Code.or.Value","URXEPB.Value.Description","URXEPB.Count","URXEPB.Cumulative","URXEPB.Skip.to.Item"
"0.71 to 3130","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
