"SSTOTAL.Code.or.Value","SSTOTAL.Value.Description","SSTOTAL.Count","SSTOTAL.Cumulative","SSTOTAL.Skip.to.Item"
"6.3 to 11.8","Range of Values",159,159,NA
".","Missing",1558,1717,NA
