"LBDNENO.Code.or.Value","LBDNENO.Value.Description","LBDNENO.Count","LBDNENO.Cumulative","LBDNENO.Skip.to.Item"
"0.3 to 15.4","Range of Values",7948,7948,NA
".","Missing",884,8832,NA
