"DR2TZINC.Code.or.Value","DR2TZINC.Value.Description","DR2TZINC.Count","DR2TZINC.Cumulative","DR2TZINC.Skip.to.Item"
"0 to 182.36","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
