"DS2IZINC.Code.or.Value","DS2IZINC.Value.Description","DS2IZINC.Count","DS2IZINC.Cumulative","DS2IZINC.Skip.to.Item"
"0.00374 to 100","Range of Values",1933,1933,NA
".","Missing",3970,5903,NA
