"LBXVD3MS.Code.or.Value","LBXVD3MS.Value.Description","LBXVD3MS.Count","LBXVD3MS.Cumulative","LBXVD3MS.Skip.to.Item"
"3.05 to 254","Range of Values",8443,8443,NA
".","Missing",979,9422,NA
