"DXXRAA.Code.or.Value","DXXRAA.Value.Description","DXXRAA.Count","DXXRAA.Cumulative","DXXRAA.Skip.to.Item"
"79.95 to 392.54","Range of Values",4031,4031,NA
".","Missing",1083,5114,NA
