"DR1IS080.Code.or.Value","DR1IS080.Value.Description","DR1IS080.Count","DR1IS080.Cumulative","DR1IS080.Skip.to.Item"
"0 to 3.976","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
