"OHD740.Code.or.Value","OHD740.Value.Description","OHD740.Count","OHD740.Cumulative","OHD740.Skip.to.Item"
"1","Yes",406,406,NA
"2","No",5203,5609,NA
"7","Refused",1,5610,NA
"9","Don't know",10,5620,NA
".","Missing",3684,9304,NA
