"DSQILYCO.Code.or.Value","DSQILYCO.Value.Description","DSQILYCO.Count","DSQILYCO.Cumulative","DSQILYCO.Skip.to.Item"
"75 to 30000","Range of Values",622,622,NA
".","Missing",7647,8269,NA
