"DR1TVARA.Code.or.Value","DR1TVARA.Value.Description","DR1TVARA.Count","DR1TVARA.Cumulative","DR1TVARA.Skip.to.Item"
"0 to 29059","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
