"DXDSTTOT.Code.or.Value","DXDSTTOT.Value.Description","DXDSTTOT.Count","DXDSTTOT.Cumulative","DXDSTTOT.Skip.to.Item"
"14904.4 to 172671.1","Range of Values",4708,4708,NA
".","Missing",1072,5780,NA
