"DSQILYCO.Code.or.Value","DSQILYCO.Value.Description","DSQILYCO.Count","DSQILYCO.Cumulative","DSQILYCO.Skip.to.Item"
"25 to 50000","Range of Values",866,866,NA
".","Missing",7534,8400,NA
