"URXNO3.Code.or.Value","URXNO3.Value.Description","URXNO3.Count","URXNO3.Cumulative","URXNO3.Skip.to.Item"
"494.9747 to 1010000","Range of Values",7629,7629,NA
".","Missing",503,8132,NA
