"DSQTMFAT.Code.or.Value","DSQTMFAT.Value.Description","DSQTMFAT.Count","DSQTMFAT.Cumulative","DSQTMFAT.Skip.to.Item"
"0.0083 to 2","Range of Values",104,104,NA
".","Missing",9867,9971,NA
