"DR1ICAFF.Code.or.Value","DR1ICAFF.Value.Description","DR1ICAFF.Count","DR1ICAFF.Cumulative","DR1ICAFF.Skip.to.Item"
"0 to 3600","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
