"DS1DS.Code.or.Value","DS1DS.Value.Description","DS1DS.Count","DS1DS.Cumulative","DS1DS.Skip.to.Item"
"1","Yes",2848,2848,NA
"2","No",6900,9748,NA
"7","Refused",0,9748,NA
"9","Don't know",0,9748,NA
".","Missing",505,10253,NA
