"DSDANCNT.Code.or.Value","DSDANCNT.Value.Description","DSDANCNT.Count","DSDANCNT.Cumulative","DSDANCNT.Skip.to.Item"
"0 to 2","Range of Values",9249,9249,NA
"77","Refused",2,9251,NA
"99","Don't know",3,9254,NA
".","Missing",0,9254,NA
