"ECQ020.Code.or.Value","ECQ020.Value.Description","ECQ020.Count","ECQ020.Cumulative","ECQ020.Skip.to.Item"
"1","Yes",623,623,""
"2","No",3740,4363,"ECQ060"
"7","Refused",3,4366,"ECQ060"
"9","Don't know",38,4404,"ECQ060"
".","Missing",1,4405,""
