"LBXTGN.Code.or.Value","LBXTGN.Value.Description","LBXTGN.Count","LBXTGN.Cumulative","LBXTGN.Skip.to.Item"
"0.07 to 4461","Range of Values",6262,6262,NA
".","Missing",655,6917,NA
