"URXMU5.Code.or.Value","URXMU5.Value.Description","URXMU5.Count","URXMU5.Cumulative","URXMU5.Skip.to.Item"
"0.04 to 1230","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
