"DR1IVB2.Code.or.Value","DR1IVB2.Value.Description","DR1IVB2.Count","DR1IVB2.Cumulative","DR1IVB2.Skip.to.Item"
"0 to 7.041","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
