"AUXR2KR.Code.or.Value","AUXR2KR.Value.Description","AUXR2KR.Count","AUXR2KR.Cumulative","AUXR2KR.Skip.to.Item"
"666","No response",0,0,NA
"888","Could not obtain",0,0,NA
".","Missing",1210,1210,NA
