"BPQ150B.Code.or.Value","BPQ150B.Value.Description","BPQ150B.Count","BPQ150B.Cumulative","BPQ150B.Skip.to.Item"
"1","Yes",3,3,NA
"2","No",7367,7370,NA
".","Missing",2392,9762,NA
