"WTSHM38.Code.or.Value","WTSHM38.Value.Description","WTSHM38.Count","WTSHM38.Cumulative","WTSHM38.Skip.to.Item"
"0.0000000 to 751521.3352600","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
