"LBDFERSI.Code.or.Value","LBDFERSI.Value.Description","LBDFERSI.Count","LBDFERSI.Cumulative","LBDFERSI.Skip.to.Item"
"1.84 to 2300","Range of Values",2684,2684,NA
".","Missing",568,3252,NA
