"URDMNPLC.Code.or.Value","URDMNPLC.Value.Description","URDMNPLC.Count","URDMNPLC.Cumulative","URDMNPLC.Skip.to.Item"
"0","At or above the detection limit",1085,1085,NA
"1","Below lower detection limit",1600,2685,NA
".","Missing",92,2777,NA
