"BMXHEAD.Code.or.Value","BMXHEAD.Value.Description","BMXHEAD.Count","BMXHEAD.Cumulative","BMXHEAD.Skip.to.Item"
"33.8 to 46.8","Range of Values",229,229,NA
".","Missing",9584,9813,NA
