"SMD415B.Code.or.Value","SMD415B.Value.Description","SMD415B.Count","SMD415B.Cumulative","SMD415B.Skip.to.Item"
"1","1",144,144,NA
"2","2 or More",25,169,NA
".","Missing",10870,11039,NA
