"DIQ070.Code.or.Value","DIQ070.Value.Description","DIQ070.Count","DIQ070.Cumulative","DIQ070.Skip.to.Item"
"1","Yes",341,341,NA
"2","No",184,525,NA
"7","Refused",0,525,NA
"9","Don't know",3,528,NA
".","Missing",9942,10470,NA
