"DR2TS060.Code.or.Value","DR2TS060.Value.Description","DR2TS060.Count","DR2TS060.Cumulative","DR2TS060.Skip.to.Item"
"0 to 4.416","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
